island_config_index,ferry_capacity,ferry_base_price,ferry_travel_time,speedboat_base_price,result
0.28125,750.53125,5.21875,65.96875,3.53125,0.24929760768607362
2.90625,750.53125,5.21875,65.96875,3.53125,0.1720965059597232
0.28125,850.46875,5.21875,65.96875,3.53125,0.2530600444000003
0.28125,750.53125,8.59375,65.96875,3.53125,0.1686156392210451
0.28125,750.53125,5.21875,47.40625,3.53125,0.27104741835773083
0.28125,750.53125,5.21875,65.96875,2.40625,0.21790611878995952
0.28125,850.46875,8.59375,47.40625,2.40625,0.17011386548637625
2.90625,750.53125,8.59375,47.40625,2.40625,0.20309045994776836
2.90625,850.46875,5.21875,47.40625,2.40625,0.16319294434132858
2.90625,850.46875,8.59375,65.96875,2.40625,0.21098628246229625
2.90625,850.46875,8.59375,47.40625,3.53125,0.2025869183515956
2.90625,850.46875,8.59375,47.40625,2.40625,0.20329075334996616
1.78125,1550.03125,9.71875,16.46875,8.03125,0.1263059803835217
1.40625,1550.03125,9.71875,16.46875,8.03125,0.12369685854064996
1.78125,50.96875,9.71875,16.46875,8.03125,0.08970178523891204
1.78125,1550.03125,4.09375,16.46875,8.03125,0.6552471767722141
1.78125,1550.03125,9.71875,96.90625,8.03125,0.11932537002993933
1.78125,1550.03125,9.71875,16.46875,6.90625,0.10352638533330376
1.78125,50.96875,4.09375,96.90625,6.90625,0.10327335523558565
1.40625,1550.03125,4.09375,96.90625,6.90625,0.18104295107471374
1.40625,50.96875,9.71875,96.90625,6.90625,0.1155229675726088
1.40625,50.96875,4.09375,16.46875,6.90625,0.1139367816289509
1.40625,50.96875,4.09375,96.90625,8.03125,0.12283097203373328
1.40625,50.96875,4.09375,96.90625,6.90625,0.10175235814702788
