island_config_index,ferry_capacity,ferry_base_price,ferry_travel_time,speedboat_base_price,result
0.0087890625,402.3115234375,9.5869140625,99.1298828125,5.1220703125,0.15371369388045503
1.6962890625,402.3115234375,9.5869140625,99.1298828125,5.1220703125,0.11500686846856159
0.0087890625,983.1982421875,9.5869140625,99.1298828125,5.1220703125,0.18130058625088985
0.0087890625,402.3115234375,9.1826171875,99.1298828125,5.1220703125,0.1598808344862714
0.0087890625,402.3115234375,9.5869140625,38.4150390625,5.1220703125,0.20022183431211937
0.0087890625,402.3115234375,9.5869140625,99.1298828125,9.2353515625,0.2599818030285432
0.0087890625,983.1982421875,9.1826171875,38.4150390625,9.2353515625,0.34575655791272186
1.6962890625,402.3115234375,9.1826171875,38.4150390625,9.2353515625,0.12472139247099023
1.6962890625,983.1982421875,9.5869140625,38.4150390625,9.2353515625,0.12266441059303171
1.6962890625,983.1982421875,9.1826171875,99.1298828125,9.2353515625,0.12483375216899198
1.6962890625,983.1982421875,9.1826171875,38.4150390625,5.1220703125,0.10285446704383923
1.6962890625,983.1982421875,9.1826171875,38.4150390625,9.2353515625,0.12837806454186423
1.5087890625,1201.8115234375,5.0869140625,49.6298828125,9.6220703125,0.37912049160386535
0.1962890625,1201.8115234375,5.0869140625,49.6298828125,9.6220703125,0.47340632230088675
1.5087890625,183.6982421875,5.0869140625,49.6298828125,9.6220703125,0.2833572944453354
1.5087890625,1201.8115234375,4.6826171875,49.6298828125,9.6220703125,0.40129005161916337
1.5087890625,1201.8115234375,5.0869140625,87.9150390625,9.6220703125,0.3038973471591299
1.5087890625,1201.8115234375,5.0869140625,49.6298828125,4.7353515625,0.09622889916739806
1.5087890625,183.6982421875,4.6826171875,87.9150390625,4.7353515625,0.09236694026643323
0.1962890625,1201.8115234375,4.6826171875,87.9150390625,4.7353515625,0.29430217268422576
0.1962890625,183.6982421875,5.0869140625,87.9150390625,4.7353515625,0.21647412762781454
0.1962890625,183.6982421875,4.6826171875,49.6298828125,4.7353515625,0.24582140103646025
0.1962890625,183.6982421875,4.6826171875,87.9150390625,9.6220703125,0.354719916815662
0.1962890625,183.6982421875,4.6826171875,87.9150390625,4.7353515625,0.22499607121558318
2.2587890625,2.5615234375,7.3369140625,74.3798828125,7.3720703125,0.19805463177276791
0.9462890625,2.5615234375,7.3369140625,74.3798828125,7.3720703125,0.11653225460352042
2.2587890625,1382.9482421875,7.3369140625,74.3798828125,7.3720703125,0.2102367198656286
2.2587890625,2.5615234375,2.4326171875,74.3798828125,7.3720703125,0.21330506997101364
2.2587890625,2.5615234375,7.3369140625,63.1650390625,7.3720703125,0.19602040725010098
2.2587890625,2.5615234375,7.3369140625,74.3798828125,2.4853515625,0.20030145408581398
2.2587890625,1382.9482421875,2.4326171875,63.1650390625,2.4853515625,0.1486320226677762
0.9462890625,2.5615234375,2.4326171875,63.1650390625,2.4853515625,0.11265587339619736
0.9462890625,1382.9482421875,7.3369140625,63.1650390625,2.4853515625,0.1842368680610849
0.9462890625,1382.9482421875,2.4326171875,74.3798828125,2.4853515625,0.298196257129434
0.9462890625,1382.9482421875,2.4326171875,63.1650390625,7.3720703125,0.4587719540915846
0.9462890625,1382.9482421875,2.4326171875,63.1650390625,2.4853515625,0.30776855712752194
0.7587890625,802.0615234375,2.8369140625,24.8798828125,2.8720703125,0.35930726231841886
2.4462890625,802.0615234375,2.8369140625,24.8798828125,2.8720703125,0.14853145339718554
