island_config_index,ferry_capacity,ferry_base_price,ferry_travel_time,speedboat_base_price,result
0.28125,750.53125,5.21875,65.96875,3.53125,0.4015547814269597
2.90625,750.53125,5.21875,65.96875,3.53125,0.20900172688530025
0.28125,850.46875,5.21875,65.96875,3.53125,0.4077038764309936
0.28125,750.53125,8.59375,65.96875,3.53125,0.32063072984967633
0.28125,750.53125,5.21875,47.40625,3.53125,0.40070885084591934
0.28125,750.53125,5.21875,65.96875,2.40625,0.3685607313216571
0.28125,850.46875,8.59375,47.40625,2.40625,0.3079927171834264
2.90625,750.53125,8.59375,47.40625,2.40625,0.14448092977434532
2.90625,850.46875,5.21875,47.40625,2.40625,0.15241125817457904
2.90625,850.46875,8.59375,65.96875,2.40625,0.14748765310462708
2.90625,850.46875,8.59375,47.40625,3.53125,0.14970985208820692
2.90625,850.46875,8.59375,47.40625,2.40625,0.14668879985915845
